Business Name,Note,Contact Name,Demo URL,Demo Site Name,CH Number,Email Address,Address,Town,Postcode,Date Added,Trade Category,Business Type,Email Source URL,Data Source,Date First Contacted,Do Not Contact,Prospect Segment,Email Thread ID,Last Email Sent,Website URL,Campaign_URL,utm_campaign,utm_content,utm_medium,utm_source
Wiltshire Window / Gutter Cleaning Specialists | Salisbury,,,,,,adam_wootton@yahoo.com,,Salisbury,SP2 8FL,07/04/2026 12:00,Commercial Cleaner,Unknown,,https://www.facebook.com/WiltshireWindowandGutterCleaning/,,No,,,,,,,,,
Dream Clean Wiltshire | Trowbridge,,,,,,dreamclean96@outlook.com,,Trowbridge,BA14 8TE,07/04/2026 12:00,Commercial Cleaner,Unknown,,https://www.facebook.com/p/Dream-Clean-Wiltshire-61567916829814/,,No,,,,,,,,,
Mai-Jay carpet and upholstery cleaning,,,,,7666948,maijaycarpetclean@gmail.com,,Salisbury,,07/04/2026 12:10,Commercial Cleaner,Unknown,,https://www.facebook.com/p/Mai-Jay-carpet-and-upholstery-cleaning-100076266518735/,,No,A - Established,,,,,,,,
Cleaner Windows / Man With a Van | Trowbridge,,,,,,matthewbillingswakerley@gmail.com,,Trowbridge,,07/04/2026 12:10,Commercial Cleaner,Unknown,,https://www.facebook.com/Cleanerwindowswilthsire/,,No,,,,,,,,,
Ramsbury Cleaning,,,,,,ramsburycleaning@outlook.com,,,,07/04/2026 12:10,Commercial Cleaner,Unknown,,https://www.facebook.com/people/Ramsbury-Cleaning/61564026287497/,,No,,,,,,,,,
Quick-Lee Cleaners | Wootton Bassett,,,,,,quickleecleaners@gmail.com,,Wootton Bassett,SN4 7AX,07/04/2026 12:20,Commercial Cleaner,Unknown,,https://www.facebook.com/p/Quick-Lee-Cleaners-100063934838464/,,No,,,,,,,,,
JS block paving | Portsmouth,,,,,,jsblockpaving@yahoo.co.uk,,Portsmouth,,07/04/2026 16:40,Driveway / Paving Contractor,Unknown,,https://www.facebook.com/p/JS-block-paving-100063593791445/,,No,,,,https://www.checkatrade.com/trades/jsblockpavingandlandscapes,,,,,
Whitfield Plastering & Rendering | Wimborne Minster,,,,,,whitfieldplastering@hotmail.com,,Wimborne Minster,,07/04/2026 17:30,Plasterer,Unknown,,https://www.facebook.com/p/Whitfield-Plastering-Rendering-61557424393570/,,No,,,,,,,,,
Will Christopher Plastering Services | Chippenham,,,,,,wchristopherplastering@gmail.com,,Chippenham,,07/04/2026 17:30,Plasterer,Unknown,,https://www.facebook.com/willchristopherplasteringservices/,,No,,,,,,,,,
C.Serretta Plastering,,,,,,carlsummers27@gmail.com,,,,07/04/2026 17:30,Plasterer,Unknown,,https://www.facebook.com/people/CSerretta-Plastering/100079937427117/,,No,,,,,,,,,
C.Mizen Plastering,,,,,,connormizen@hotmail.com,,,,07/04/2026 17:30,Plasterer,Unknown,,https://www.facebook.com/p/CMizen-Plastering-100068033544054/,,No,,,,,,,,,
PJK Painting & Plastering | Tisbury,,,,,,pking.2011@outlook.com,,Tisbury,,07/04/2026 17:30,Plasterer,Unknown,,https://www.facebook.com/p/PJK-Painting-Plastering-100065306538008/,,No,,,,,,,,,
C.W Plastering | Mayfield,,,,,,wiltshirechris@outlook.com,,United Kingdom,,07/04/2026 17:30,Plasterer,Unknown,,https://www.facebook.com/p/CW-Plastering-100063558847863/,,No,,,,,,,,,
RLG Kitchen & Bathroom Installations,,,,,,ricardo.gomes@live.co.uk,,,,07/04/2026 17:30,Plasterer,Individual - Sole Trader,,https://www.facebook.com/rlgplastering/,,No,B - Growth Phase,,,,,,,,
Knight and Riddell Plastering Ltd  | Chippenham,,,,,,enquiries@kandr-group.com,,Chippenham,SN14 0ZE,07/04/2026 17:40,Plasterer,Unknown,,https://www.facebook.com/p/Knight-and-Riddell-Plastering-Ltd-100091364670446/,,No,,,,,,,,,
Homer Plastering and dry lining | Devizes,,,,,,homersplastering@mail.com,,Devizes,,07/04/2026 17:40,Plasterer,Unknown,,https://www.facebook.com/p/Homer-Plastering-and-dry-lining-61558798122928/,,No,B - Growth Phase,,,,,,,,
Becky Ward - Blush Painting and Decorating,,,,,,somersetbex@gmail.com,,,,07/04/2026 18:20,Painter & Decorator,Unknown,,https://www.facebook.com/blushpaint/,,No,,,,,,,,,
The Bisley Carpenter,,,,,,bisleycarpenter@outlook.com,,,,07/04/2026 20:00,Carpenter / Joiner,Unknown,,https://www.facebook.com/p/The-Bisley-Carpenter-100057433600423/,,No,,,,,,,,,
Gareth Evans Carpentry | New Quay,,,,,,garethevanscarpenrty@mail.com,,New Quay,SA44 6NG,07/04/2026 20:10,Carpenter / Joiner,Unknown,,https://www.facebook.com/garethevanscarpentry/,,No,,,,,,,,,
J Parker Traditional Carpentry & Building | Evesham,,,,,,jparker80@hotmail.co.uk,,Evesham,,07/04/2026 20:10,Carpenter / Joiner,Unknown,,https://www.facebook.com/jpcarpentryandbuilding/,,No,,,,,,,,,
L J Morse Carpentry | Sharpness,,,,,,leighmorse@hotmail.co.uk,,Sharpness,GL13 9UU,07/04/2026 20:20,Carpenter / Joiner,Unknown,,https://www.facebook.com/LJMORSECARPENTRY/,,No,,,,,,,,,
Josh Innes Carpentry & Maintenance Services | Gloucester,,,,,,joshua_innes@outlook.com,,Gloucester,GL4 6BG,07/04/2026 20:20,Carpenter / Joiner,Unknown,,https://www.facebook.com/joshinnescarpentry/,,No,,,,,,,,,
PB Bespoke Carpentry Services | Chepstow,,,,,,pbbespokecarpentry@gmail.com,,Chepstow,,07/04/2026 20:20,Carpenter / Joiner,Individual - Sole Trader,,https://www.facebook.com/pbbespokecarpentryservices/,,No,B - Growth Phase,,,,,,,,
Hector Electrical | Church Langley,,,,,,dan_hector@hotmail.com,,United Kingdom,,07/04/2026 22:40,Electrician,Unknown,,https://www.facebook.com/Hectorelectricalltd/,,No,,,,,,,,,
A P Electrical | Bath,,,,,,apelectrical.21@gmail.com,,United Kingdom,,07/04/2026 22:40,Electrician,Unknown,,https://www.facebook.com/APElectricalradstock/,,No,,,,,,,,,
Flower and Field Gardens,,,,,,enquiries@flowerandfieldgardens.com,,,,08/04/2026 04:50,Landscaper / Garden Designer,Unknown,,https://www.facebook.com/FlowerandFieldGardens/,,No,,,,,,,,,
S.s plastering | Bath,,,,,,s.splastering-home-diy@outlook.com,,Bath,BA2 8JL,08/04/2026 06:10,Plasterer,Unknown,,https://www.facebook.com/s.splastering2002/,,No,B - Growth Phase,,,,,,,,
A & B Decorating Services Bristol,,,,,,aandbdecoratingservices@outlook.com,,,,08/04/2026 06:50,Painter & Decorator,Unknown,,https://www.facebook.com/aandbdecoratingservices/,,No,,,,,,,,,
J Morgan Decorating | Bristol,,,,,,jmorgandecorating@outlook.com,,Bristol,,08/04/2026 06:50,Painter & Decorator,Unknown,,https://www.facebook.com/p/J-Morgan-Decorating-61555268159664/,,No,,,,,,,,,
JB Painting | Bristol,,,,,,jburge@hotmail.co.uk,,United Kingdom,,08/04/2026 06:50,Painter & Decorator,Individual - Sole Trader,,https://www.facebook.com/jbpainting74/,,No,B - Growth Phase,,,,,,,,
Decorate-her | Pucklechurch,,,,,,decorateher.pd@gmail.com,,Pucklechurch,BS16 9PN,08/04/2026 06:50,Painter & Decorator,Unknown,,https://www.facebook.com/decorateher.pd/,,No,,,,,,,,,
Uplands Decorating Services | Cheddar,,,,,,uplandsdecorating@hotmail.com,,Cheddar,,08/04/2026 06:50,Painter & Decorator,Unknown,,https://www.facebook.com/p/Uplands-Decorating-Services-100063691775104/,,No,,,,,,,,,
DeKor UK,,,,,,dekoruk2022@gmail.com,,,,08/04/2026 06:50,Painter & Decorator,Unknown,,https://www.facebook.com/DeKorUK2022/,,No,,,,,,,,,
Best Coat Decorating,,,,,,bestcoatdecorating@gmail.com,,,,08/04/2026 06:50,Painter & Decorator,Individual - Sole Trader,,https://www.facebook.com/BestCoatDecorating/,,No,B - Growth Phase,,,,,,,,
Nik Keevil Design | Bristol,,,,,,nik@keevildesign.co.uk,,Bristol,BS16 5SU,08/04/2026 07:00,Painter & Decorator,Unknown,,https://www.facebook.com/nikkeevildesign/,,No,,,,http://www.facebook.com/nikkeevildesign,,,,,
Green Decorating Bristol,,,,,,greendecoratingbristol@gmail.com,,,,08/04/2026 07:00,Painter & Decorator,Individual - Sole Trader,,https://www.facebook.com/GreenDecoratingBristol/,,No,A - Established,,,,,,,,
Fresco Artistic Decorating | Bristol,,,,,,lachaplininteriors.int@gmail.com,,United Kingdom,,08/04/2026 07:00,Painter & Decorator,Unknown,,https://www.facebook.com/FrescoArtisticDecorating/,,No,,,,,,,,,
Scott Feltham Decorating | Bristol,,,,,,scottfelthamdecorating@live.com,,Bristol,,08/04/2026 07:00,Painter & Decorator,Unknown,,https://www.facebook.com/scottfelthamdecorating/,,No,,,,,,,,,
Chew valley decorating | Bristol,,,,,,cvdecorating0@gmail.com,,Bristol,,08/04/2026 07:10,Painter & Decorator,Unknown,,https://www.facebook.com/liamgriffindecorating/,,No,,,,,,,,,
D.F Painters and Decorators Bristol,,,,,,davidfaur2006@yahoo.com,,Bristol,BS6 5PU,08/04/2026 07:10,Painter & Decorator,Individual - Sole Trader,,ChIJRScam9uPcUgRb2_OGqVcW0w,,No,B - Growth Phase,,,,,,,,
SW Carpentry  | Oxford,,,,,,watts.sp65@gmail.com,,Oxford,OX1 5LR,20/04/2026 13:20,Carpenter / Joiner,Unknown,,https://www.facebook.com/p/SW-Carpentry-61579282350276/,,No,,,,,,,,,
EJ Carpentry | Oxford,,,,,,ej_carpentry@outlook.com,,Oxford,,20/04/2026 13:20,Carpenter / Joiner,Unknown,,https://www.facebook.com/EJ-Carpentry-103605877646669/,,No,,,,,,,,,
F. Gomm Carpentry | Bledington,,,,,,fred1st@hotmail.co.uk,,Bledington,,20/04/2026 13:20,Carpenter / Joiner,Unknown,,https://www.facebook.com/FGommcarpentry/,,No,,,,,,,,,
Rokins Joinery | Abingdon,,,,,,rokinsjoinery@gmail.com,,Abingdon,OX13 6QH,20/04/2026 13:30,Carpenter / Joiner,Unknown,,https://www.facebook.com/ROKINSJOINERY/,,No,,,,,,,,,
SJ Carpentry and General Maintenance Oxfordshire | Abingdon,,,,,,sjjcarpentryenquiries@gmail.com,,Abingdon,,20/04/2026 13:30,Carpenter / Joiner,Unknown,,https://www.facebook.com/p/SJ-Carpentry-and-General-Maintenance-Oxfordshire-100065200372751/,,No,,,,,,,,,
Pinnacle Carpentry Services Ltd | Banbury,,,,,9794771,pinnaclecarpentryservices@gmail.com,,Banbury,,20/04/2026 13:30,Carpenter / Joiner,Unknown,,https://www.facebook.com/p/Pinnacle-Carpentry-Services-Ltd-100063533258760/,,No,,,,,,,,,
M R Tiling | Warminster,,,,,,michael.pearl3@googlemail.com,,Warminster,,20/04/2026 14:30,Tiler,Unknown,,https://www.facebook.com/p/M-R-Tiling-100057428710009/,,No,,,,,,,,,
Cube Ceramics | Bristol,,,,,11165425,pablostains@msn.com,,Bristol,,20/04/2026 14:30,Tiler,Unknown,,https://www.facebook.com/paulwixen1/,,No,,,,,,,,,
Southern Edge Tiling | Bristol,,,,,,southernedgefinishes@outlook.com,,Bristol,BS13 8RD,20/04/2026 14:30,Tiler,Unknown,,https://www.facebook.com/p/Southern-Edge-Tiling-100063801805303/,,No,,,,,,,,,
Quality Tiling SW | Plymouth,,,,,,iamcdon@icloud.com,,Plymouth,PL6 5SG,20/04/2026 14:40,Tiler,Unknown,,https://www.facebook.com/iamcdon/,,No,,,,,,,,,
D.F. Tiling,,,,,,dftiling0@gmail.com,,,,20/04/2026 14:40,Tiler,Unknown,,https://www.facebook.com/p/DF-Tiling-100064928232124/,,No,,,,,,,,,
Approved roofing,,,,,11114358,approved_roofing@hotmail.com,,,,20/04/2026 15:30,Roofer,Unknown,,https://www.facebook.com/approvedroofing1/,,No,,,,,,,,,
Inwood Roofs | Bristol,,,,,16052078,inwoodroofs@hotmail.com,,Bristol,BS16 4DU,20/04/2026 15:30,Roofer,Unknown,,https://www.facebook.com/InwoodRoofing/,,No,,,,,,,,,
ASA Roofing | Bristol,,,,,,asaroofingbristol@gmail.com,,United Kingdom,,20/04/2026 15:30,Roofer,Unknown,,https://www.facebook.com/ASA.Roofing.Bristol/,,No,,,,https://www.checkatrade.com/trades/ASARoofing938101,,,,,
Over the top roofing & property maintenance,,,,,13447636,specialist4roofing@gmail.com,,,,20/04/2026 15:40,Roofer,Unknown,,https://www.facebook.com/overthetop23/,,No,,,,,,,,,
4 Season Roofing & Development  | Bristol,,,,,11550515,4seasonsdevelop@gmail.com,,Bristol,,20/04/2026 15:40,Roofer,Unknown,,https://www.facebook.com/p/4-Season-Roofing-Development-100089611926471/,,No,,,,,,,,,
"KJ's General Services & Maintenance | Cabot, Bristol",,,,,,orchard96@icloud.com,,Bristol,,20/04/2026 15:50,Roofer,Unknown,,https://www.facebook.com/kjservices96/,,No,,,,,,,,,
Roof Wise Roofing Services,,,,,12676093,roofwiseroofingservices@outlook.com,,,,20/04/2026 15:50,Roofer,Unknown,,https://www.facebook.com/p/Roof-Wise-Roofing-Services-100067391067148/,,No,,,,,,,,,
Holbrook Roofing  | Bristol,,,,,14316493,holbrookroofingbristol@outlook.com,,Bristol,BS16 9DY,20/04/2026 15:50,Roofer,Unknown,,https://www.facebook.com/p/Holbrook-Roofing-100086968412359/,,No,,,,,,,,,
RB Roofing & Landscaping | Bristol,,,,,,rob.bess2307@gmail.com,,Bristol,BS16 5JS,20/04/2026 16:00,Roofer,Unknown,,https://www.facebook.com/rbroofinghotmailcom/,,No,,,,,,,,,
Young's Electrical - Southwest | Bristol,,,,,,youngselectricalsw@gmail.com,,United Kingdom,,20/04/2026 16:50,Electrician,Unknown,,https://www.facebook.com/youngselectricalsw/,,No,,,,,,,,,
Feldman Electrical,,,,,,feldmanelectrical@gmail.com,,,,20/04/2026 17:00,Electrician,Unknown,,https://www.facebook.com/feldmanelectrical/,,No,,,,,,,,,
Ian Marcovitch Electrical Services | Bristol,,,,,SC580597,imesinfo2@gmail.com,,Bristol,,20/04/2026 17:10,Electrician,Unknown,,https://www.facebook.com/IanMarcovitchElectricalServices/,,No,,,,,,,,,
Jet Elec Services Ltd | Bristol,,,,,11133303,jetelecservices@hotmail.com,,United Kingdom,,20/04/2026 17:10,Electrician,Unknown,,https://www.facebook.com/jetelec/,,No,,,,,,,,,
Falco Electrical,,,,,14048727,falcoelectrical@icloud.com,,,,20/04/2026 17:10,Electrician,Unknown,,https://www.facebook.com/falcoelectricalltd/,,No,,,,,,,,,
Projects Electrical Services,,,,,14286754,contact@projectselectrical.co.uk,,,,20/04/2026 17:20,Electrician,Unknown,,https://www.facebook.com/projectselectrical/,,No,,,,,,,,,
Burton Electrical Services,,,,,16369842,luke@elitefe.co.uk,,,,20/04/2026 17:20,Electrician,Unknown,,https://www.facebook.com/p/Burton-Electrical-Services-100090923330447/,,No,,,,,,,,,
Wright Plumbing And Heating | Bristol,,,,,,wrightplumbingandheating@outlook.com,,Bristol,BS36 1LE,20/04/2026 18:10,Plumber,Unknown,,https://www.facebook.com/wrightplumbingandheating94/,,No,,,,,,,,,
CKB Plumbing & Heating Ltd. | Bristol,,,,,,caubrey1@sky.com,,Bristol,BS35 4QF,20/04/2026 18:10,Plumber,Unknown,,https://www.facebook.com/CkbPlumbingHeating/,,No,,,,,,,,,
PipeTec Plumbing & Heating | Bristol,,,,,,pipetec-plumbing@hotmail.com,,Bristol,,20/04/2026 18:10,Plumber,Unknown,,https://www.facebook.com/PipeTecplumbingHeating/,,No,,,,,,,,,
CJM Plumbing & Heating Services. | Bristol,,,,,,cjmplumbers@gmail.com,,Bristol,GL12 8EW,20/04/2026 18:10,Plumber,Unknown,,https://www.facebook.com/CJMPlumbers/,,No,,,,,,,,,
"Reliable Ru’s Plumbing, electrical & general maintenance  | Bristol",,,,,,reliableru@hotmail.com,,Bristol,,20/04/2026 18:20,Plumber,Unknown,,https://www.facebook.com/p/Reliable-Rus-Plumbing-electrical-general-maintenance-100094206545554/,,No,,,,,,,,,
J.P Heating and Plumbing | Bristol,,,,,,jpheatingplumbing22@gmail.com,,Bristol,,20/04/2026 18:20,Plumber,Unknown,,https://www.facebook.com/j.p.heatingplumbing22/,,No,,,,,,,,,
The Plumbing Company Ltd,,,,,,rich@theplumbingcompanyltd.co.uk,,Church Road,BS36 1BY,20/04/2026 18:20,Plumber,Unknown,,https://www.facebook.com/p/The-Plumbing-Company-Ltd-100063607912688/,,No,,,,,,,,,
KNIGHT PLUMBING & HEATING | Bristol,,,,,11799924,knightplumbingandheating@outlook.com,,Bristol,BS16 7AU,20/04/2026 18:20,Plumber,Unknown,,https://www.facebook.com/p/KNIGHT-PLUMBING-HEATING-100063580000243/,,No,,,,,,,,,
KH Plumbing & Gas | Bristol,,,,,,khplumbingandgas@hotmail.com,,Bristol,BS30 5XN,20/04/2026 18:30,Plumber,Unknown,,https://www.facebook.com/p/KH-Plumbing-Gas-100068448487899/,,No,,,,,,,,,
Meaders Plumbing,,,,,,joemead75@gmail.com,,,,20/04/2026 18:30,Plumber,Unknown,,https://www.facebook.com/p/Meaders-Plumbing-61578627691913/,,No,,,,,,,,,
MJ Edden Plumbing & Heating | Bristol,,,,,,mj.heating@blueyonder.co.uk,,Bristol,BS48 4QW,20/04/2026 18:30,Plumber,Unknown,,https://www.facebook.com/MjEddenPlumbingHeating/,,No,,,,,,,,,
Seager's Plumbing and heating | Bristol,,,,,,seagers81@gmail.com,,Bristol,,20/04/2026 18:30,Plumber,Unknown,,https://www.facebook.com/p/Seagers-Plumbing-and-heating-100063524589931/,,No,,,,,,,,,
JH Plumbing | Bristol,,,,,,infojhplumbing@gmail.com,,Bristol,BS37 8TW,20/04/2026 18:40,Plumber,Unknown,,https://www.facebook.com/p/JH-Plumbing-100094533116208/,,No,,,,,,,,,
Unrivalled Energy Ltd | Bristol,,,,,,jake@unrivalledheating.co.uk,,United Kingdom,,20/04/2026 18:40,Plumber,Unknown,,https://www.facebook.com/unrivalledphltd/,,No,,,,,,,,,
Unique heat | Bristol,,,,,,mike@uniqueheat.co.uk,,Bristol,BS15 1QY,20/04/2026 18:40,Plumber,Unknown,,https://www.facebook.com/uniqueheatltd/,,No,,,,,,,,,
BDD plumbing and heating ltd | Bristol,,,,,,bddplumbingandheating@hotmail.com,,Bristol,,20/04/2026 18:40,Plumber,Unknown,,https://www.facebook.com/bddplumbingheating/,,No,,,,,,,,,
Swiss Plumbing and Heating | Bristol,,,,,,hello@swissplumbing.co.uk,,Bristol,BS3 2RS,20/04/2026 18:40,Plumber,Unknown,,https://www.facebook.com/SwissPlumbingandHeating/,,No,,,,,,,,,
Paul Flook Plumbing And Heating | Bristol,,,,,,paulalan@hotmail.co.uk,,Bristol,BS30 8AA,20/04/2026 18:50,Plumber,Unknown,,https://www.facebook.com/paulalanflook/,,No,,,,,,,,,
Harding plumbing services | Bristol,,,,,,info@hardingplumbingservices.com,,United Kingdom,,20/04/2026 18:50,Plumber,Unknown,,https://www.facebook.com/hardingplumbingservices/,,No,,,,,,,,,
T.I.M Home & Garden Services,,,,,16800921,timhomeandgarden@outlook.com,,,,05/05/2026 12:00,Handyman,Unknown,,https://www.facebook.com/TIMhomegarden/,,No,,,,,,,,,
DW Property Maintenance | Salisbury,,,,,15581889,dwpropertymaintenance25@gmail.com,,United Kingdom,,05/05/2026 12:00,Handyman,Unknown,,https://www.facebook.com/p/DW-Property-Maintenance-100078634395928/,,No,,,,,,,,,
JW Drop Kerbs & Surfacing Somerset | Bath,,,,,,jansonw1234@outlook.com,,Bath,BA3 3DW,05/05/2026 15:30,Driveway / Paving Contractor,Unknown,,https://www.facebook.com/people/JW-Drop-Kerbs-Surfacing-Somerset/100065490879530/,,No,,,,,,,,,
Blade plastering & home improvements Reels,,,,,,bladeplasteringservices@hotmail.co.uk,,Killingworth,,05/05/2026 16:01,Plasterer,Unknown,,https://www.facebook.com/bladeplasteringhis/reels/,,No,,,,,,,,,
CPM Plastering | Bath,,,,,17153241,cpmplastering1@outlook.com,,Bath,,05/05/2026 16:01,Plasterer,Unknown,,https://www.facebook.com/cpmplastering1/,,No,,,,,,,,,
Parkview Painting and Decorating | Bath,,,,,,parkviewpaintinganddecorating@gmail.com,,Bath,BA3 2NT,05/05/2026 16:40,Painter & Decorator,Unknown,,https://www.facebook.com/p/Parkview-Painting-and-Decorating-100083121073230/,,No,,,,,,,,,
Sean Little Painting & Decorating,,,,,,slpd21@outlook.com,,,,05/05/2026 16:40,Painter & Decorator,Unknown,,https://www.facebook.com/Sean.Little.Painting.and.Decorating/,,No,,,,,,,,,
S. Bean Joinery,,,,,,simonbeanjoinery@gmail.com,,,,05/05/2026 17:10,Carpenter / Joiner,Unknown,,https://www.facebook.com/simonbeanjoinery/,,No,,,,,,,,,
Fullerton Joiners and Builders,,,,,SC505194,fullertonjoinersandbuilders@gmail.com,,,,05/05/2026 17:10,Carpenter / Joiner,Unknown,,https://www.facebook.com/FullertonFJB/,,No,,,,,,,,,
Down Street Building & joinery | Saintfield,,,,,,david.campbell2@me.com,,Saintfield,,05/05/2026 17:10,Carpenter / Joiner,Unknown,,https://www.facebook.com/p/Down-Street-Building-joinery-100054510787268/,,No,,,,,,,,,
Frontier Tiling,,,,,,frontiertiling@gmail.com,,,,05/05/2026 17:40,Tiler,Unknown,,https://www.facebook.com/furnitureFRONTIER/,,No,,,,,,,,,
Signature Tiling,,,,,SC498320,signature-tiling@hotmail.com,,Durham,,05/05/2026 17:40,Tiler,Unknown,,https://www.facebook.com/SigTiling/mentions/,,No,A - Established,,,,,wave 2,NB-0024,outreach,email
Next-Gen-Tiling,,,,,,next-gen-tiling@hotmail.com,,,,05/05/2026 17:40,Tiler,Unknown,,https://www.facebook.com/ngtiling/,,No,,,,,,,,,
SW Tiling,,,,,,swtiling1@outlook.com,,,,05/05/2026 17:41,Tiler,Unknown,,https://www.facebook.com/swtiling1/,,No,,,,,,,,,
Paul Kelly Plumbing & Heating,,,,,NI667843,paulkellyplumbingheating@gmail.com,,,,05/05/2026 19:50,Gas Engineer / Boiler Installer,Unknown,,https://www.facebook.com/PaulKellyPlumbers/,,No,,,,,,,,,
